               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.031201,           0.0085972,           0.0069005,             0.83069,             0.72281,             0.83842,             0.61423,            0.030094,           0.0030682,             0.01954,            0.006733,            0.006733,            0.006733
                  68,            0.029663,           0.0084231,            0.006155,             0.90457,             0.74196,              0.8782,             0.56737,            0.028769,           0.0030153,            0.017315,           0.0066835,           0.0066835,           0.0066835
                  69,            0.031186,           0.0081069,           0.0061385,              0.8325,             0.73314,             0.86084,             0.54408,            0.034273,           0.0030282,            0.017202,            0.006634,            0.006634,            0.006634
                  70,            0.030135,           0.0082149,            0.010193,             0.84949,             0.81842,             0.87872,             0.59818,            0.026292,           0.0030813,            0.016961,           0.0065845,           0.0065845,           0.0065845
                  71,            0.028116,            0.007328,           0.0064022,             0.71282,             0.65614,             0.78926,             0.52186,            0.031436,           0.0031157,            0.017839,            0.006535,            0.006535,            0.006535
                  72,            0.029547,           0.0078468,           0.0060484,             0.57992,             0.84474,             0.77675,             0.42296,             0.03383,           0.0032105,            0.016401,           0.0064855,           0.0064855,           0.0064855
                  73,            0.028794,           0.0072993,           0.0057471,              0.6895,             0.67018,             0.78229,             0.45494,             0.03092,           0.0031071,            0.016982,            0.006436,            0.006436,            0.006436
                  74,            0.028089,            0.008106,           0.0069794,             0.69243,             0.81842,              0.8431,             0.51237,            0.033503,           0.0030682,            0.016777,           0.0063865,           0.0063865,           0.0063865
                  75,            0.030273,           0.0077763,           0.0078441,             0.88472,             0.76579,             0.88177,             0.61049,            0.026835,           0.0030146,            0.015643,            0.006337,            0.006337,            0.006337
                  76,            0.029032,           0.0076298,           0.0052149,             0.86219,             0.81842,             0.87431,             0.59601,            0.025374,           0.0029907,            0.015663,           0.0062875,           0.0062875,           0.0062875
                  77,            0.028483,           0.0075949,           0.0052249,             0.89828,             0.73947,             0.83524,              0.5195,            0.025746,           0.0030711,            0.018715,            0.006238,            0.006238,            0.006238
                  78,            0.026508,           0.0079527,           0.0056933,             0.84377,             0.84474,              0.8801,             0.56818,            0.027183,           0.0031049,            0.014991,           0.0061885,           0.0061885,           0.0061885
                  79,            0.028131,           0.0076745,           0.0053177,             0.80133,             0.85782,             0.88081,             0.58426,            0.026158,           0.0029523,            0.016708,            0.006139,            0.006139,            0.006139
                  80,            0.028218,           0.0078485,           0.0057814,             0.59644,             0.86209,             0.80475,             0.44291,            0.034507,            0.003058,            0.017202,           0.0060895,           0.0060895,           0.0060895
                  81,            0.027186,           0.0073045,           0.0056267,             0.85761,             0.82544,             0.88191,             0.57068,            0.026935,           0.0029938,             0.01708,             0.00604,             0.00604,             0.00604
                  82,            0.027099,           0.0071186,           0.0049216,             0.80937,              0.8114,             0.88593,             0.53677,            0.033823,           0.0030482,            0.015597,           0.0059905,           0.0059905,           0.0059905
                  83,            0.028144,           0.0072426,           0.0053928,             0.89213,             0.84474,             0.89561,             0.60678,            0.024637,           0.0030777,            0.015352,            0.005941,            0.005941,            0.005941
